,CBERT-R,CBERT-P,CBERT-F,BERTScore-R,BERTScore-P,BERTScore-F,BARTScore,R-1,R-2,R-L
102,0.91,0.7,0.79,0.84,0.82,0.83,0.29,0.15,0.06,0.08
103,0.76,0.57,0.65,0.83,0.79,0.81,0.3,0.12,0.04,0.06
104,0.79,0.56,0.65,0.86,0.81,0.83,0.28,0.14,0.06,0.1
105,0.91,0.64,0.75,0.83,0.82,0.83,0.33,0.1,0.05,0.07
106,0.89,0.63,0.74,0.83,0.8,0.82,0.22,0.05,0.02,0.03
107,0.91,0.68,0.78,0.84,0.82,0.83,0.35,0.23,0.13,0.15
108,0.87,0.7,0.77,0.81,0.81,0.81,0.32,0.25,0.1,0.12
109,0.86,0.78,0.82,0.79,0.81,0.8,0.29,0.28,0.09,0.1
110,0.86,0.65,0.74,0.85,0.83,0.84,0.39,0.26,0.12,0.15
111,0.94,0.55,0.69,0.84,0.78,0.81,0.28,0.02,0.01,0.01
112,0.72,0.58,0.64,0.84,0.8,0.82,0.21,0.15,0.03,0.09
113,0.88,0.65,0.75,0.84,0.83,0.83,0.3,0.09,0.04,0.05
114,0.72,0.51,0.6,0.86,0.79,0.82,0.37,0.06,0.02,0.03
115,0.95,0.62,0.75,0.83,0.8,0.82,0.22,0.04,0.02,0.03
116,0.78,0.54,0.64,0.86,0.81,0.84,0.34,0.13,0.05,0.07
117,0.96,0.71,0.82,0.82,0.81,0.81,0.3,0.14,0.08,0.07
118,0.83,0.66,0.73,0.83,0.81,0.82,0.28,0.24,0.07,0.11
119,0.9,0.68,0.77,0.83,0.8,0.82,0.34,0.14,0.05,0.07
120,0.91,0.71,0.8,0.84,0.85,0.85,0.33,0.13,0.07,0.08
121,0.87,0.56,0.68,0.86,0.79,0.82,0.28,0.1,0.04,0.05
122,0.9,0.75,0.82,0.88,0.83,0.86,0.46,0.21,0.13,0.12
123,0.85,0.71,0.77,0.85,0.83,0.84,0.31,0.28,0.12,0.14
124,0.65,0.57,0.61,0.82,0.8,0.81,0.22,0.17,0.03,0.09
125,0.86,0.64,0.73,0.85,0.83,0.84,0.39,0.16,0.09,0.1
126,0.79,0.7,0.74,0.85,0.83,0.84,0.29,0.36,0.12,0.16
127,0.85,0.69,0.76,0.85,0.83,0.84,0.34,0.21,0.09,0.12
128,0.92,0.7,0.79,0.82,0.85,0.84,0.28,0.15,0.06,0.07
129,0.93,0.66,0.77,0.85,0.83,0.84,0.35,0.15,0.07,0.08
130,0.91,0.72,0.81,0.86,0.83,0.84,0.36,0.27,0.16,0.17
131,0.85,0.69,0.76,0.83,0.81,0.82,0.35,0.29,0.11,0.15
132,0.88,0.67,0.76,0.85,0.83,0.84,0.34,0.28,0.13,0.16
133,0.91,0.7,0.79,0.84,0.84,0.84,0.33,0.15,0.08,0.08
134,0.82,0.67,0.73,0.83,0.81,0.82,0.41,0.16,0.09,0.12
135,0.76,0.64,0.69,0.83,0.81,0.82,0.23,0.21,0.07,0.11
136,0.9,0.68,0.78,0.85,0.84,0.84,0.32,0.13,0.07,0.08
137,0.81,0.65,0.72,0.85,0.81,0.83,0.26,0.21,0.05,0.11
138,0.89,0.75,0.81,0.86,0.85,0.85,0.32,0.23,0.11,0.1
139,0.9,0.8,0.85,0.86,0.83,0.85,0.4,0.25,0.14,0.15
140,0.88,0.6,0.71,0.86,0.82,0.84,0.33,0.12,0.05,0.07
141,0.74,0.64,0.69,0.84,0.83,0.83,0.31,0.26,0.08,0.13
142,0.91,0.64,0.75,0.81,0.82,0.81,0.46,0.17,0.1,0.11
143,0.94,0.7,0.8,0.84,0.81,0.82,0.26,0.15,0.07,0.09
144,0.87,0.64,0.74,0.83,0.81,0.82,0.29,0.16,0.07,0.09
145,0.86,0.72,0.78,0.84,0.84,0.84,0.29,0.19,0.08,0.08
146,0.94,0.64,0.76,0.86,0.85,0.86,0.29,0.09,0.05,0.05
147,0.69,0.62,0.65,0.84,0.8,0.82,0.25,0.19,0.05,0.1
148,0.86,0.74,0.8,0.84,0.84,0.84,0.25,0.27,0.12,0.12
149,0.92,0.7,0.79,0.83,0.83,0.83,0.28,0.14,0.06,0.08
150,0.94,0.76,0.84,0.86,0.84,0.85,0.36,0.2,0.12,0.14
151,0.94,0.7,0.8,0.87,0.81,0.83,0.44,0.14,0.09,0.09
152,0.9,0.73,0.81,0.85,0.85,0.85,0.34,0.23,0.1,0.12
153,0.89,0.66,0.76,0.82,0.81,0.82,0.31,0.16,0.07,0.09
154,0.88,0.59,0.71,0.85,0.84,0.84,0.33,0.08,0.03,0.05
155,0.88,0.68,0.76,0.83,0.83,0.83,0.28,0.12,0.06,0.07
156,0.91,0.74,0.81,0.86,0.84,0.85,0.26,0.14,0.08,0.09
157,0.91,0.57,0.7,0.87,0.81,0.84,0.43,0.11,0.06,0.09
158,0.9,0.66,0.76,0.85,0.81,0.83,0.21,0.11,0.04,0.06
159,0.93,0.7,0.8,0.84,0.83,0.84,0.27,0.11,0.07,0.08
160,0.83,0.67,0.74,0.84,0.82,0.83,0.28,0.17,0.06,0.09
161,0.88,0.74,0.8,0.85,0.84,0.85,0.29,0.21,0.08,0.1
162,0.82,0.71,0.76,0.83,0.84,0.84,0.3,0.34,0.13,0.15
163,0.6,0.54,0.57,0.84,0.82,0.83,0.22,0.16,0.03,0.11
164,0.87,0.74,0.8,0.8,0.78,0.79,0.27,0.11,0.05,0.06
165,0.89,0.76,0.82,0.82,0.82,0.82,0.33,0.16,0.07,0.07
166,0.89,0.64,0.75,0.84,0.82,0.83,0.24,0.14,0.06,0.08
167,0.88,0.66,0.76,0.83,0.81,0.82,0.19,0.11,0.06,0.07
168,0.89,0.66,0.76,0.85,0.81,0.83,0.31,0.08,0.04,0.05
169,0.9,0.61,0.73,0.84,0.79,0.81,0.22,0.09,0.03,0.05
170,0.79,0.57,0.67,0.85,0.81,0.83,0.35,0.12,0.03,0.06
171,0.8,0.61,0.69,0.83,0.81,0.82,0.27,0.11,0.02,0.05
172,0.69,0.63,0.66,0.82,0.82,0.82,0.28,0.27,0.13,0.13
173,0.88,0.71,0.79,0.84,0.81,0.82,0.32,0.15,0.06,0.08
174,0.84,0.65,0.74,0.85,0.83,0.84,0.2,0.18,0.06,0.09
175,0.91,0.77,0.84,0.86,0.85,0.85,0.45,0.36,0.2,0.2
176,0.78,0.63,0.7,0.84,0.83,0.83,0.3,0.26,0.09,0.13
177,0.88,0.67,0.76,0.84,0.82,0.83,0.27,0.21,0.07,0.11
178,0.88,0.7,0.78,0.83,0.81,0.82,0.32,0.19,0.07,0.08
179,0.93,0.72,0.81,0.84,0.81,0.82,0.31,0.16,0.11,0.11
180,0.89,0.69,0.77,0.84,0.82,0.83,0.27,0.14,0.07,0.09
181,0.8,0.62,0.7,0.85,0.84,0.84,0.43,0.19,0.09,0.09
182,0.88,0.69,0.78,0.87,0.83,0.85,0.41,0.2,0.1,0.1
183,0.81,0.72,0.76,0.88,0.87,0.87,0.46,0.3,0.17,0.2
184,0.74,0.64,0.69,0.82,0.82,0.82,0.3,0.3,0.11,0.13
185,0.9,0.64,0.75,0.83,0.82,0.82,0.33,0.17,0.07,0.11
186,0.95,0.7,0.81,0.83,0.82,0.82,0.32,0.11,0.06,0.06
187,0.83,0.73,0.78,0.88,0.84,0.86,0.49,0.36,0.23,0.24
188,0.91,0.76,0.83,0.86,0.84,0.85,0.34,0.16,0.09,0.08
189,0.74,0.6,0.66,0.83,0.79,0.81,0.26,0.13,0.05,0.08
190,0.87,0.71,0.78,0.84,0.82,0.83,0.25,0.13,0.05,0.06
191,0.87,0.62,0.72,0.84,0.81,0.82,0.28,0.1,0.04,0.05
192,0.83,0.71,0.77,0.83,0.82,0.82,0.26,0.23,0.08,0.11
193,0.85,0.59,0.7,0.87,0.82,0.85,0.36,0.15,0.07,0.1
194,0.9,0.65,0.75,0.84,0.83,0.83,0.41,0.2,0.09,0.1
195,0.88,0.58,0.7,0.87,0.8,0.83,0.43,0.14,0.07,0.09
196,0.89,0.68,0.77,0.84,0.83,0.83,0.31,0.23,0.12,0.14
197,0.82,0.73,0.77,0.85,0.84,0.84,0.37,0.28,0.11,0.15
198,0.91,0.76,0.83,0.84,0.85,0.84,0.36,0.31,0.15,0.14
199,0.86,0.71,0.78,0.82,0.81,0.81,0.33,0.17,0.08,0.09
200,0.75,0.53,0.62,0.84,0.79,0.81,0.25,0.06,0.02,0.04
201,0.91,0.72,0.8,0.85,0.84,0.85,0.34,0.27,0.14,0.14
202,0.81,0.49,0.61,0.85,0.78,0.81,0.23,0.09,0.02,0.05
203,0.94,0.52,0.67,0.89,0.81,0.85,0.52,0.13,0.08,0.11
204,0.9,0.73,0.81,0.84,0.83,0.83,0.28,0.2,0.08,0.09
205,0.89,0.71,0.79,0.88,0.87,0.87,0.42,0.18,0.11,0.1
206,0.84,0.57,0.68,0.84,0.81,0.83,0.22,0.09,0.03,0.06
207,0.66,0.62,0.64,0.84,0.82,0.83,0.24,0.24,0.07,0.14
208,0.92,0.69,0.79,0.85,0.83,0.84,0.29,0.14,0.06,0.08
209,0.88,0.66,0.75,0.85,0.82,0.84,0.36,0.2,0.11,0.12
210,0.9,0.67,0.77,0.85,0.82,0.84,0.32,0.13,0.07,0.08
211,0.8,0.74,0.77,0.85,0.84,0.84,0.3,0.45,0.19,0.24
212,0.92,0.61,0.73,0.84,0.83,0.83,0.33,0.07,0.04,0.04
213,0.72,0.58,0.64,0.84,0.81,0.82,0.27,0.21,0.05,0.1
214,0.72,0.61,0.66,0.85,0.81,0.83,0.26,0.18,0.05,0.09
215,0.78,0.77,0.77,0.84,0.85,0.85,0.35,0.41,0.11,0.19
216,0.83,0.63,0.71,0.82,0.81,0.82,0.27,0.15,0.05,0.07
217,0.69,0.7,0.7,0.84,0.85,0.84,0.25,0.42,0.09,0.2
218,0.86,0.68,0.76,0.83,0.83,0.83,0.27,0.14,0.05,0.07
219,0.86,0.68,0.76,0.86,0.81,0.84,0.44,0.25,0.14,0.17
220,0.79,0.66,0.72,0.81,0.82,0.82,0.25,0.24,0.08,0.1
221,0.75,0.56,0.64,0.82,0.78,0.8,0.22,0.09,0.02,0.05
222,0.91,0.56,0.7,0.84,0.79,0.81,0.52,0.15,0.08,0.11
223,0.84,0.71,0.77,0.85,0.83,0.84,0.41,0.29,0.14,0.17
224,0.92,0.75,0.83,0.86,0.84,0.85,0.37,0.21,0.12,0.1
225,0.86,0.71,0.78,0.85,0.84,0.84,0.39,0.21,0.09,0.11
226,0.88,0.66,0.75,0.84,0.82,0.83,0.38,0.19,0.08,0.11
227,0.68,0.59,0.63,0.83,0.81,0.82,0.24,0.16,0.03,0.08
228,0.86,0.57,0.69,0.85,0.8,0.82,0.27,0.07,0.02,0.04
229,0.81,0.69,0.74,0.84,0.83,0.83,0.22,0.19,0.07,0.11
230,0.88,0.71,0.79,0.82,0.8,0.81,0.27,0.24,0.1,0.12
231,0.79,0.75,0.77,0.84,0.84,0.84,0.28,0.35,0.14,0.18
232,0.91,0.77,0.83,0.84,0.85,0.85,0.34,0.21,0.11,0.12
233,0.76,0.63,0.69,0.82,0.8,0.81,0.25,0.17,0.03,0.07
234,0.95,0.76,0.84,0.85,0.84,0.84,0.36,0.18,0.1,0.11
235,0.92,0.69,0.79,0.88,0.85,0.86,0.52,0.26,0.18,0.15
236,0.86,0.64,0.74,0.83,0.82,0.82,0.25,0.11,0.04,0.05
237,0.91,0.7,0.79,0.85,0.84,0.85,0.41,0.17,0.08,0.09
238,0.9,0.59,0.71,0.85,0.81,0.83,0.29,0.09,0.04,0.05
239,0.89,0.79,0.84,0.85,0.84,0.85,0.43,0.39,0.23,0.25
240,0.87,0.78,0.83,0.85,0.85,0.85,0.39,0.37,0.23,0.24
241,0.9,0.78,0.83,0.85,0.85,0.85,0.32,0.34,0.16,0.14
242,0.85,0.67,0.75,0.82,0.83,0.82,0.3,0.19,0.06,0.08
243,0.95,0.73,0.82,0.86,0.84,0.85,0.42,0.23,0.13,0.14
244,0.91,0.7,0.79,0.82,0.81,0.82,0.3,0.09,0.05,0.06
245,0.81,0.71,0.76,0.83,0.83,0.83,0.26,0.31,0.08,0.12
246,0.9,0.63,0.74,0.86,0.82,0.84,0.44,0.17,0.12,0.1
247,0.8,0.69,0.74,0.86,0.86,0.86,0.3,0.24,0.08,0.11
248,0.83,0.64,0.72,0.85,0.81,0.83,0.28,0.12,0.05,0.07
249,0.92,0.64,0.75,0.83,0.79,0.81,0.2,0.06,0.04,0.04
250,0.81,0.65,0.72,0.84,0.82,0.83,0.34,0.27,0.12,0.16
251,0.89,0.68,0.77,0.82,0.8,0.81,0.3,0.1,0.05,0.05
252,0.89,0.74,0.81,0.85,0.84,0.84,0.3,0.21,0.09,0.12
253,0.9,0.69,0.78,0.83,0.81,0.82,0.29,0.19,0.08,0.09
254,0.89,0.79,0.84,0.84,0.81,0.82,0.27,0.29,0.14,0.15
255,0.85,0.67,0.75,0.82,0.79,0.8,0.25,0.14,0.04,0.06
256,0.9,0.54,0.67,0.86,0.77,0.81,0.35,0.08,0.04,0.05
257,0.9,0.62,0.73,0.84,0.8,0.82,0.23,0.06,0.03,0.04
258,0.85,0.63,0.72,0.85,0.84,0.85,0.37,0.15,0.07,0.08
259,0.79,0.61,0.69,0.83,0.81,0.82,0.33,0.15,0.05,0.08
260,0.92,0.75,0.83,0.82,0.83,0.82,0.33,0.18,0.09,0.1
261,0.91,0.79,0.85,0.89,0.88,0.88,0.52,0.54,0.41,0.44
262,0.73,0.59,0.65,0.86,0.82,0.84,0.27,0.21,0.05,0.1
263,0.78,0.69,0.73,0.82,0.82,0.82,0.23,0.23,0.07,0.12
264,0.91,0.6,0.72,0.81,0.79,0.8,0.23,0.05,0.02,0.04
265,0.9,0.75,0.82,0.86,0.85,0.85,0.36,0.24,0.13,0.14
266,0.91,0.66,0.76,0.86,0.84,0.85,0.38,0.18,0.07,0.1
267,0.82,0.56,0.66,0.85,0.8,0.83,0.29,0.12,0.04,0.06
268,0.89,0.79,0.84,0.83,0.82,0.83,0.38,0.36,0.18,0.16
269,0.9,0.68,0.77,0.83,0.82,0.82,0.24,0.16,0.07,0.07
270,0.93,0.7,0.8,0.83,0.83,0.83,0.33,0.27,0.12,0.14
271,0.86,0.62,0.72,0.84,0.82,0.83,0.36,0.19,0.09,0.1
272,0.91,0.68,0.78,0.86,0.82,0.84,0.29,0.17,0.08,0.09
273,0.91,0.63,0.74,0.84,0.82,0.83,0.28,0.09,0.04,0.05
274,0.94,0.75,0.83,0.85,0.82,0.83,0.33,0.18,0.07,0.09
275,0.82,0.7,0.76,0.86,0.84,0.85,0.45,0.34,0.21,0.2
276,0.85,0.52,0.64,0.86,0.8,0.83,0.37,0.11,0.04,0.06
